frequency,psd,group
144.53125,2.095292961804992e-05,group_2
148.4375,2.971533101900018e-05,group_2
152.34375,3.79800656714474e-05,group_2
156.25,2.9581102642098133e-05,group_2
160.15625,1.2360867686454815e-05,group_2
164.0625,1.0487239719524753e-05,group_2
167.96875,1.993112339223402e-05,group_2
171.875,1.045313710540769e-05,group_2
175.78125,1.3538811996279158e-05,group_2
179.6875,1.3277116954940453e-05,group_2
183.59375,2.236935241610616e-05,group_2
187.5,1.8915083571400296e-05,group_2
191.40625,1.2456966818606969e-05,group_2
195.3125,1.816331526467783e-05,group_2
199.21875,1.2191517432094912e-05,group_2
203.125,1.4637345119637296e-05,group_2
207.03125,1.902543082824416e-05,group_2
210.9375,1.8093463994326645e-05,group_2
214.84375,1.4766786273062047e-05,group_2
218.75,1.770779510158032e-05,group_2
222.65625,1.1685267468744683e-05,group_2
226.5625,1.6668059263912757e-05,group_2
230.46875,1.590761613609974e-05,group_2
234.375,1.4564664775918637e-05,group_2
238.28125,1.3757344526198061e-05,group_2
242.1875,1.3260059241559756e-05,group_2
246.09375,1.7525579305194193e-05,group_2
250.0,1.891358963630358e-05,group_2
253.90625,1.492660014774859e-05,group_2
257.8125,2.476823643460231e-05,group_2
261.71875,1.9353549742056963e-05,group_2
265.625,1.3014955035856321e-05,group_2
269.53125,1.1635027335936797e-05,group_2
273.4375,1.597271475809024e-05,group_2
277.34375,3.3017238523452616e-05,group_2
281.25,4.130836006059586e-05,group_2
285.15625,2.2321096216580305e-05,group_2
289.0625,4.3506650513723576e-05,group_2
292.96875,4.8262284737079956e-05,group_2
296.875,2.364239816386439e-05,group_2
300.78125,1.9495784965658167e-05,group_2
304.6875,2.435600737417189e-05,group_2
308.59375,2.462512009572642e-05,group_2
312.5,1.722419963430046e-05,group_2
316.40625,1.1180105882205211e-05,group_2
320.3125,8.18559115094541e-06,group_2
324.21875,1.677640838541251e-05,group_2
328.125,2.211339044531507e-05,group_2
332.03125,1.8471226337240667e-05,group_2
335.9375,2.4881934308558317e-05,group_2
339.84375,2.5503899974037086e-05,group_2
343.75,2.366020152011789e-05,group_2
347.65625,1.9186727032009166e-05,group_2
351.5625,1.754441754236998e-05,group_2
355.46875,1.4791318869116898e-05,group_2
359.375,1.2060335439925319e-05,group_2
363.28125,1.7158754694580278e-05,group_2
367.1875,1.875458408314564e-05,group_2
371.09375,1.5333053936546846e-05,group_2
375.0,1.3594603125989707e-05,group_2
378.90625,1.7345293486435954e-05,group_2
382.8125,2.9098394754743916e-05,group_2
386.71875,2.1481118578664635e-05,group_2
390.625,1.689215866650845e-05,group_2
394.53125,2.108650695518923e-05,group_2
398.4375,5.702705016641812e-06,group_2
402.34375,1.033984435858262e-05,group_2
406.25,2.6664827728366982e-05,group_2
410.15625,3.109217230127371e-05,group_2
414.0625,2.281253069391218e-05,group_2
417.96875,1.3852200291308987e-05,group_2
421.875,1.599791019637407e-05,group_2
425.78125,1.6420925026171308e-05,group_2
429.6875,2.101204504125055e-05,group_2
433.59375,4.4459529007376914e-05,group_2
437.5,4.06706309371354e-05,group_2
441.40625,1.4082047219354706e-05,group_2
445.3125,3.1342374494460323e-05,group_2
449.21875,3.248471335327944e-05,group_2
453.125,3.611017558988572e-05,group_2
457.03125,3.4609274385671065e-05,group_2
460.9375,1.9837689333373128e-05,group_2
464.84375,1.1102551994478688e-05,group_2
468.75,7.582596054634394e-06,group_2
472.65625,8.619364125522105e-06,group_2
476.5625,1.992062899179813e-05,group_2
480.46875,1.7147541827966178e-05,group_2
484.375,1.7398605898703445e-05,group_2
488.28125,9.726450658313118e-06,group_2
492.1875,9.276432607679525e-06,group_2
496.09375,2.6867622710222005e-05,group_2
500.0,1.862092093350204e-05,group_2
0.0,5.998656366167782e-06,group_3
3.90625,1.6235934980316e-05,group_3
7.8125,2.8352944602089408e-05,group_3
11.71875,2.1637186941507223e-05,group_3
15.625,1.8832623876627804e-05,group_3
19.53125,1.821926754538742e-05,group_3
23.4375,9.429897117572093e-06,group_3
27.34375,1.3218405783768985e-05,group_3
31.25,2.231612079212013e-05,group_3
35.15625,1.860729299755147e-05,group_3
39.0625,9.46904625601159e-06,group_3
42.96875,1.9539587777822915e-05,group_3
46.875,6.514078672302371e-06,group_3
50.78125,1.2415700472620685e-05,group_3
54.6875,1.55005403454233e-05,group_3
58.59375,1.8160331703987776e-05,group_3
62.5,1.4417142738264094e-05,group_3
66.40625,0.006063624849957829,group_3
70.3125,0.020514240369118555,group_3
74.21875,0.004078921922842561,group_3
78.125,3.0081971150107172e-05,group_3
82.03125,1.763781124372819e-05,group_3
85.9375,2.2387110680087834e-05,group_3
89.84375,2.3266936090834567e-05,group_3
93.75,3.4787705248111955e-05,group_3
97.65625,3.0451957344151e-05,group_3
101.5625,1.887341705702823e-05,group_3
105.46875,2.4377264258789873e-05,group_3
109.375,1.7431429047137004e-05,group_3
113.28125,2.7139885219011956e-05,group_3
117.1875,2.842977316414918e-05,group_3
121.09375,3.5167301367699775e-05,group_3
125.0,3.161346641114227e-05,group_3
128.90625,1.2172559562011696e-05,group_3
132.8125,8.3736376859705e-06,group_3
136.71875,1.6005850434479908e-05,group_3
140.625,3.7515593318264144e-05,group_3
144.53125,2.6260738437602714e-05,group_3
148.4375,1.661742712069636e-05,group_3
152.34375,2.151486821431064e-05,group_3
156.25,1.4698852950045624e-05,group_3
160.15625,9.368112871782017e-06,group_3
164.0625,1.27068450671202e-05,group_3
167.96875,8.571004126511746e-06,group_3
171.875,2.078384135139358e-05,group_3
175.78125,2.2130453467939258e-05,group_3
179.6875,1.300929417413956e-05,group_3
183.59375,1.80856718031975e-05,group_3
187.5,2.0563556319158996e-05,group_3
191.40625,1.7604860745047225e-05,group_3
195.3125,8.787559763964822e-06,group_3
199.21875,1.914517392188638e-05,group_3
203.125,4.280666034344217e-05,group_3
207.03125,2.1635188504813666e-05,group_3
210.9375,1.4240570107851994e-05,group_3
214.84375,1.5915950924327768e-05,group_3
218.75,1.1409753680077288e-05,group_3
222.65625,1.7140514570320617e-05,group_3
226.5625,2.2790677200035906e-05,group_3
230.46875,1.9305885314379622e-05,group_3
234.375,2.0430951136870696e-05,group_3
238.28125,1.8319097400282283e-05,group_3
242.1875,1.8844832858323257e-05,group_3
246.09375,1.5768520214377894e-05,group_3
250.0,2.0907372597775453e-05,group_3
253.90625,2.245479074091026e-05,group_3
257.8125,2.744957658630388e-05,group_3
261.71875,1.8498053618621297e-05,group_3
265.625,2.704127627022859e-05,group_3
269.53125,1.5796756439062693e-05,group_3
273.4375,3.126366323950701e-05,group_3
277.34375,3.2326916215856e-05,group_3
281.25,2.3161209032577415e-05,group_3
285.15625,1.3166988073761923e-05,group_3
289.0625,9.024208762718645e-06,group_3
292.96875,1.5451720220474048e-05,group_3
296.875,1.861021200232345e-05,group_3
300.78125,1.0466291334986293e-05,group_3
304.6875,1.5842008344736237e-05,group_3
308.59375,2.529817212970476e-05,group_3
312.5,2.8339785224969035e-05,group_3
316.40625,2.3367989338675242e-05,group_3
320.3125,9.064919367624563e-06,group_3
324.21875,1.5159739787063194e-05,group_3
328.125,2.332104853461643e-05,group_3
332.03125,2.9292523614125766e-05,group_3
335.9375,2.1421421524337405e-05,group_3
339.84375,2.5931001211795092e-05,group_3
343.75,3.2126059347127924e-05,group_3
347.65625,2.8516255784125908e-05,group_3
351.5625,1.734020914416513e-05,group_3
355.46875,6.784088129935884e-06,group_3
359.375,1.71584557025138e-05,group_3
363.28125,3.899903887167422e-05,group_3
367.1875,2.7610222912641936e-05,group_3
371.09375,1.6967369414665936e-05,group_3
375.0,9.218411462640563e-06,group_3
378.90625,2.343949812526927e-05,group_3
382.8125,1.0011379869475358e-05,group_3
386.71875,1.87381999271098e-05,group_3
390.625,2.7238380847619957e-05,group_3
394.53125,1.4284017552867743e-05,group_3
398.4375,1.9874615063467026e-05,group_3
402.34375,2.858016350733799e-05,group_3
406.25,2.2544697137738236e-05,group_3
410.15625,7.619872068378383e-06,group_3
414.0625,1.4286013228430263e-05,group_3
417.96875,2.5408262366843147e-05,group_3
421.875,2.0090105028352313e-05,group_3
425.78125,1.8876363546263436e-05,group_3
429.6875,1.962374946072481e-05,group_3
433.59375,2.853479886085465e-05,group_3
437.5,1.658596002447342e-05,group_3
441.40625,1.3091794002451597e-05,group_3
445.3125,1.6515612575732825e-05,group_3
449.21875,1.4618576808996765e-05,group_3
453.125,1.61269122669696e-05,group_3
457.03125,9.04915383760742e-06,group_3
460.9375,9.863799208749224e-06,group_3
464.84375,1.7588761654450405e-05,group_3
468.75,1.6937745553302797e-05,group_3
472.65625,1.0598712909706187e-05,group_3
476.5625,1.2339510154952211e-05,group_3
480.46875,2.143639146689162e-05,group_3
484.375,2.3516398741334195e-05,group_3
488.28125,9.784186693509927e-06,group_3
492.1875,1.944423653359986e-05,group_3
496.09375,2.7565987870253496e-05,group_3
500.0,1.0831808616377274e-05,group_3
